name;type;category;power;accuracy;pp;effect;secondaryEffect
10,000,000 Volt Thunderbolt;Electric;Special;195;0;1;Pikachu-exclusive Z-Move. High critical hit ratio.;0
Absorb;Grass;Special;20;100;25;User recovers half the HP inflicted on opponent.;0
Accelerock;Rock;Physical;40;100;20;User attacks first.;0
Acid;Poison;Special;40;100;30;May lower opponent's Special Defense.;10
Acid Armor;Poison;Status;0;0;20;Sharply raises user's Defense.;0
Acid Downpour;Poison;0;0;0;1;Poison type Z-Move.;0
Acid Spray;Poison;Special;40;100;20;Sharply lowers opponent's Special Defense.;100
Acrobatics;Flying;Physical;55;100;15;Stronger when the user does not have a held item.;0
Acupressure;Normal;Status;0;0;30;Sharply raises a random stat.;0
Aerial Ace;Flying;Physical;60;999;20;Ignores Accuracy and Evasiveness.;0
Aeroblast;Flying;Special;100;95;5;High critical hit ratio.;0
After You;Normal;Status;0;0;15;Gives target priority in the next turn.;0
Agility;Psychic;Status;0;0;30;Sharply raises user's Speed.;0
Air Cutter;Flying;Special;60;95;25;High critical hit ratio.;0
Air Slash;Flying;Special;75;95;15;May cause flinching.;30
All-Out Pummeling;Fighting;0;0;0;1;Fighting type Z-Move.;0
Alluring Voice;Fairy;Special;80;100;10;;0
Ally Switch;Psychic;Status;0;0;15;User switches with opposite teammate.;0
Amnesia;Psychic;Status;0;0;20;Sharply raises user's Special Defense.;0
Anchor Shot;Steel;Physical;80;100;20;The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.;0
Ancient Power;Rock;Special;60;100;5;May raise all user's stats at once.;10
Apple Acid;Grass;Special;80;100;10;Lowers target's Special Defense.;100
Aqua Cutter;Water;Physical;70;100;20;High critical hit ratio.;0
Aqua Jet;Water;Physical;40;100;20;User attacks first.;0
Aqua Ring;Water;Status;0;0;20;Restores a little HP each turn.;0
Aqua Step;Water;Physical;80;100;10;Raises user's Speed.;100
Aqua Tail;Water;Physical;90;90;10;;0
Arm Thrust;Fighting;Physical;15;100;20;Hits 2-5 times in one turn.;0
Armor Cannon;Fire;Special;120;100;5;Lowers user's Defense and Special Defense.;0
Aromatherapy;Grass;Status;0;0;5;Cures all status problems in your party.;0
Aromatic Mist;Fairy;Status;0;0;20;Raises Special Defense of an ally.;0
Assist;Normal;Status;0;0;20;User performs a move known by its allies at random.;0
Assurance;Dark;Physical;60;100;10;Power doubles if opponent already took damage in the same turn.;0
Astonish;Ghost;Physical;30;100;15;May cause flinching.;30
Astral Barrage;Ghost;Special;120;100;5;The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.;0
Attack Order;Bug;Physical;90;100;15;High critical hit ratio.;0
Attract;Normal;Status;0;100;15;If opponent is the opposite gender, it's less likely to attack.;0
Aura Sphere;Fighting;Special;80;999;20;Ignores Accuracy and Evasiveness.;0
Aura Wheel;Electric;Physical;110;100;10;Changes type based on Morpeko's Mode.;100
Aurora Beam;Ice;Special;65;100;20;May lower opponent's Attack.;10
Aurora Veil;Ice;Status;0;0;20;Halves damage from Physical and Special attacks for five turns.;0
Autotomize;Steel;Status;0;0;15;Reduces weight and sharply raises Speed.;0
Avalanche;Ice;Physical;60;100;10;Power doubles if user took damage first.;0
Axe Kick;Fighting;Physical;120;90;10;May confuse opponent. If it misses, the user loses HP.;0
Baby-Doll Eyes;Fairy;Status;0;100;30;Always goes first. Lowers the target's attack.;0
Baddy Bad;Dark;Special;90;100;15;Reduces damage from Physical attacks.;0
Baneful Bunker;Poison;Status;0;0;10;Protects the user and poisons opponent on contact.;0
Barb Barrage;Poison;Physical;60;100;10;"May poison opponent; inflicts double damage if the target is already poisoned.";0
Barrage;Normal;Physical;15;85;20;Hits 2-5 times in one turn.;0
Barrier;Psychic;Status;0;0;20;Sharply raises user's Defense.;0
Baton Pass;Normal;Status;0;0;40;User switches out and gives stat changes to the incoming Pokémon.;0
Beak Blast;Flying;Physical;100;100;15;The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.;0
Beat Up;Dark;Physical;0;100;10;Each Pokémon in user's party attacks.;0
Behemoth Bash;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.;0
Behemoth Blade;Steel;Physical;100;100;5;Damage doubles if target is Dynamaxed.;0
Belch;Poison;Special;120;90;10;User must have consumed a Berry.;0
Belly Drum;Normal;Status;0;0;10;User loses 50% of its max HP, but Attack raises to maximum.;0
Bestow;Normal;Status;0;0;15;Gives the user's held item to the target.;0
Bide;Normal;Physical;0;0;10;User takes damage for two turns then strikes back double.;0
Bind;Normal;Physical;15;85;20;Traps opponent, damaging them for 4-5 turns.;100
Bite;Dark;Physical;60;100;25;May cause flinching.;30
Bitter Blade;Fire;Physical;90;100;10;User recovers half the HP inflicted on opponent.;0
Bitter Malice;Ghost;Special;75;100;10;Lowers opponent's Attack.;0
Black Hole Eclipse;Dark;0;0;0;1;Dark type Z-Move.;0
Blast Burn;Fire;Special;150;90;5;User must recharge next turn.;0
Blaze Kick;Fire;Physical;85;90;10;High critical hit ratio. May burn opponent.;10
Blazing Torque;Fire;Physical;80;100;10;May burn the opponent.;0
Bleakwind Storm;Flying;Special;100;80;10;May lower opponent's Speed.;0
Blizzard;Ice;Special;110;70;5;May freeze opponent.;10
Block;Normal;Status;0;0;5;Opponent cannot flee or switch.;0
Blood Moon;Normal;Special;140;100;5;Cannot be used twice in a row.;0
Bloom Doom;Grass;0;0;0;1;Grass type Z-Move.;0
Blue Flare;Fire;Special;130;85;5;May burn opponent.;20
Body Press;Fighting;Physical;80;100;10;The higher the user's Defense, the stronger the attack.;0
Body Slam;Normal;Physical;85;100;15;May paralyze opponent.;30
Bolt Beak;Electric;Physical;85;100;10;If the user attacks before the target, the power of this move is doubled.;0
Bolt Strike;Electric;Physical;130;85;5;May paralyze opponent.;20
Bone Club;Ground;Physical;65;85;20;May cause flinching.;10
Bone Rush;Ground;Physical;25;90;10;Hits 2-5 times in one turn.;0
Bonemerang;Ground;Physical;50;90;10;Hits twice in one turn.;0
Boomburst;Normal;Special;140;100;10;Hits all adjacent Pokémon.;0
Bounce;Flying;Physical;85;85;5;Springs up on first turn, attacks on second. May paralyze opponent.;30
Bouncy Bubble;Water;Special;90;100;15;User recovers half the HP inflicted on opponent.;0
Branch Poke;Grass;Physical;40;100;40;;0
Brave Bird;Flying;Physical;120;100;15;User receives recoil damage.;0
Breaking Swipe;Dragon;Physical;60;100;15;Hits multiple opponents and lowers their attack.;100
Breakneck Blitz;Normal;0;0;0;1;Normal type Z-Move.;0
Brick Break;Fighting;Physical;75;100;15;Breaks through Reflect and Light Screen barriers.;0
Brine;Water;Special;65;100;10;Power doubles if opponent's HP is less than 50%.;0
Brutal Swing;Dark;Physical;60;100;20;The user swings its body around violently to inflict damage on everything in its vicinity.;0
Bubble;Water;Special;40;100;30;May lower opponent's Speed.;10
Bubble Beam;Water;Special;65;100;20;May lower opponent's Speed.;10
Bug Bite;Bug;Physical;60;100;20;Receives the effect from the opponent's held berry.;0
Bug Buzz;Bug;Special;90;100;10;May lower opponent's Special Defense.;10
Bulk Up;Fighting;Status;0;0;20;Raises user's Attack and Defense.;0
Bulldoze;Ground;Physical;60;100;20;Lowers opponent's Speed.;100
Bullet Punch;Steel;Physical;40;100;30;User attacks first.;0
Bullet Seed;Grass;Physical;25;100;30;Hits 2-5 times in one turn.;0
Burn Up;Fire;Special;130;100;5;To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.;0
Burning Bulwark;Fire;Status;0;999;10;;0
Burning Jealousy;Fire;Special;70;100;5;Hits all opponents, and burns any that have had their stats boosted.;0
Buzzy Buzz;Electric;Special;90;100;15;Paralyzes the opponent.;100
Calm Mind;Psychic;Status;0;0;20;Raises user's Special Attack and Special Defense.;0
Camouflage;Normal;Status;0;0;20;Changes user's type according to the location.;0
Captivate;Normal;Status;0;100;20;Sharply lowers opponent's Special Attack if opposite gender.;0
Catastropika;Electric;Physical;210;0;1;Pikachu-exclusive Z-Move.;0
Ceaseless Edge;Dark;Physical;65;90;15;Sets up Spikes.;0
Celebrate;Normal;Status;0;0;40;The Pokémon congratulates you on your special day. No battle effect.;0
Charge;Electric;Status;0;0;20;Raises user's Special Defense and next Electric move's power increases.;0
Charge Beam;Electric;Special;50;90;10;May raise user's Special Attack.;70
Charm;Fairy;Status;0;100;20;Sharply lowers opponent's Attack.;0
Chatter;Flying;Special;65;100;20;Confuses opponent.;100
Chilling Water;Water;Special;50;100;20;Lowers opponent's Attack.;0
Chilly Reception;Ice;Status;0;0;10;Switches out and summons a snowstorm lasting 5 turns.;0
Chip Away;Normal;Physical;70;100;20;Ignores opponent's stat changes.;0
Chloroblast;Grass;Special;150;95;5;User receives recoil damage.;0
Circle Throw;Fighting;Physical;60;90;10;In battles, the opponent switches. In the wild, the Pokémon runs.;0
Clamp;Water;Physical;35;85;15;Traps opponent, damaging them for 4-5 turns.;100
Clanging Scales;Dragon;Special;110;100;5;Lowers user's Defense.;100
Clangorous Soul;Dragon;Status;0;100;5;Raises all user's stats but loses HP.;100
Clangorous Soulblaze;Dragon;Special;185;0;1;Kommo-o exclusive Z-Move.;0
Clear Smog;Poison;Special;50;0;15;Removes all of the target's stat changes.;0
Close Combat;Fighting;Physical;120;100;5;Lowers user's Defense and Special Defense.;100
Coaching;Fighting;Status;0;0;10;Boosts Attack and Defense of a teammate.;0
Coil;Poison;Status;0;0;20;Raises user's Attack, Defense and Accuracy.;0
Collision Course;Fighting;Physical;100;100;5;Boosted even more if it's super-effective.;0
Combat Torque;Fighting;Physical;100;100;10;May paralyze the opponent.;0
Comet Punch;Normal;Physical;18;85;15;Hits 2-5 times in one turn.;0
Comeuppance;Dark;Physical;0;100;10;Deals more damage to the opponent that last inflicted damage on it.;0
Confide;Normal;Status;0;0;20;Lowers opponent's Special Attack.;100
Confuse Ray;Ghost;Status;0;100;10;Confuses opponent.;0
Confusion;Psychic;Special;50;100;25;May confuse opponent.;10
Constrict;Normal;Physical;10;100;35;May lower opponent's Speed by one stage.;10
Continental Crush;Rock;0;0;0;1;Rock type Z-Move.;0
Conversion;Normal;Status;0;0;30;Changes user's type to that of its first move.;0
Conversion 2;Normal;Status;0;0;30;User changes type to become resistant to opponent's last move.;0
Copycat;Normal;Status;0;0;20;Copies opponent's last move.;0
Core Enforcer;Dragon;Special;100;100;10;Suppresses the target's ability if the target has already moved.;0
Corkscrew Crash;Steel;0;0;0;1;Steel type Z-Move.;0
Corrosive Gas;Poison;Status;0;100;40;Removes opponent's items.;0
Cosmic Power;Psychic;Status;0;0;20;Raises user's Defense and Special Defense.;0
Cotton Guard;Grass;Status;0;0;10;Drastically raises user's Defense.;0
Cotton Spore;Grass;Status;0;100;40;Sharply lowers opponent's Speed.;0
Counter;Fighting;Physical;0;100;20;When hit by a Physical Attack, user strikes back with 2x power.;0
Court Change;Normal;Status;0;100;10;Swaps the effects on either side of the field.;0
Covet;Normal;Physical;60;100;25;Opponent's item is stolen by the user.;0
Crabhammer;Water;Physical;100;90;10;High critical hit ratio.;0
Crafty Shield;Fairy;Status;0;0;10;Protects the Pokémon from status moves.;0
Cross Chop;Fighting;Physical;100;80;5;High critical hit ratio.;0
Cross Poison;Poison;Physical;70;100;20;High critical hit ratio. May poison opponent.;10
Crunch;Dark;Physical;80;100;15;May lower opponent's Defense.;20
Crush Claw;Normal;Physical;75;95;10;May lower opponent's Defense.;50
Crush Grip;Normal;Physical;0;100;5;More powerful when opponent has higher HP.;0
Curse;Ghost;Status;0;0;10;"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.";0
Cut;Normal;Physical;50;95;30;;0
Dark Pulse;Dark;Special;80;100;15;May cause flinching.;20
Dark Void;Dark;Status;0;50;10;Puts all adjacent opponents to sleep.;0
Darkest Lariat;Dark;Physical;85;100;10;Ignores opponent's stat changes.;0
Dazzling Gleam;Fairy;Special;80;100;10;Hits all adjacent opponents.;0
Decorate;Fairy;Status;0;0;15;Sharply raises target's Attack and Special Attack.;100
Defend Order;Bug;Status;0;0;10;Raises user's Defense and Special Defense.;0
Defense Curl;Normal;Status;0;0;40;Raises user's Defense.;0
Defog;Flying;Status;0;0;15;Lowers opponent's Evasiveness and clears fog.;0
Destiny Bond;Ghost;Status;0;0;5;If the user faints, the opponent also faints.;0
Detect;Fighting;Status;0;0;5;Protects the user, but may fail if used consecutively.;0
Devastating Drake;Dragon;0;0;0;1;Dragon type Z-Move.;0
Diamond Storm;Rock;Physical;100;95;5;May sharply raise user's Defense.;50
Dig;Ground;Physical;80;100;10;Digs underground on first turn, attacks on second. Can also escape from caves.;0
Dire Claw;Poison;Physical;80;100;15;May poison, paralyze or put the opponent to sleep.;0
Disable;Normal;Status;0;100;20;Opponent can't use its last attack for a few turns.;0
Disarming Voice;Fairy;Special;40;999;15;Ignores Accuracy and Evasiveness.;0
Discharge;Electric;Special;80;100;15;May paralyze opponent.;30
Dive;Water;Physical;80;100;10;Dives underwater on first turn, attacks on second turn.;0
Dizzy Punch;Normal;Physical;70;100;10;May confuse opponent.;20
Doodle;Normal;Status;0;100;10;Changes the abilities of the user and its teammates to that of the target.;0
Doom Desire;Steel;Special;140;100;5;Damage occurs 2 turns later.;0
Double Hit;Normal;Physical;35;90;10;Hits twice in one turn.;0
Double Iron Bash;Steel;Physical;60;100;5;"Hits twice in one turn; may cause flinching.";30
Double Kick;Fighting;Physical;30;100;30;Hits twice in one turn.;0
Double Shock;Electric;Physical;120;100;5;After using this move, the user will no longer be Electric type.;0
Double Slap;Normal;Physical;15;85;10;Hits 2-5 times in one turn.;0
Double Team;Normal;Status;0;0;15;Raises user's Evasiveness.;0
Double-Edge;Normal;Physical;120;100;15;User receives recoil damage.;0
Draco Meteor;Dragon;Special;130;90;5;Sharply lowers user's Special Attack.;100
Dragon Ascent;Flying;Physical;120;100;5;Lowers user's Defense and Special Defense.;100
Dragon Breath;Dragon;Special;60;100;20;May paralyze opponent.;30
Dragon Cheer;Dragon;Status;0;999;15;;0
Dragon Claw;Dragon;Physical;80;100;15;;0
Dragon Dance;Dragon;Status;0;0;20;Raises user's Attack and Speed.;0
Dragon Darts;Dragon;Physical;50;100;10;User attacks twice.;0
Dragon Energy;Dragon;Special;150;100;5;The higher the user's HP, the higher the power.;0
Dragon Hammer;Dragon;Physical;90;100;15;The user uses its body like a hammer to attack the target and inflict damage.;0
Dragon Pulse;Dragon;Special;85;100;10;;0
Dragon Rage;Dragon;Special;0;100;10;Always inflicts 40 HP.;0
Dragon Rush;Dragon;Physical;100;75;10;May cause flinching.;20
Dragon Tail;Dragon;Physical;60;90;10;In battles, the opponent switches. In the wild, the Pokémon runs.;0
Drain Punch;Fighting;Physical;75;100;10;User recovers half the HP inflicted on opponent.;0
Draining Kiss;Fairy;Special;50;100;10;User recovers most the HP inflicted on opponent.;0
Dream Eater;Psychic;Special;100;100;15;User recovers half the HP inflicted on a sleeping opponent.;0
Drill Peck;Flying;Physical;80;100;20;;0
Drill Run;Ground;Physical;80;95;10;High critical hit ratio.;0
Drum Beating;Grass;Physical;80;100;10;Lowers opponent's Speed.;100
Dual Chop;Dragon;Physical;40;90;15;Hits twice in one turn.;0
Dual Wingbeat;Flying;Physical;40;90;10;The user slams the target with its wings. The target is hit twice in a row.;0
Dynamax Cannon;Dragon;Special;100;100;5;Damage doubles if opponent is Dynamaxed.;0
Dynamic Punch;Fighting;Physical;100;50;5;Confuses opponent.;100
Earth Power;Ground;Special;90;100;10;May lower opponent's Special Defense.;10
Earthquake;Ground;Physical;100;100;10;Power is doubled if opponent is underground from using Dig.;0
Echoed Voice;Normal;Special;40;100;15;Power increases each turn.;0
Eerie Impulse;Electric;Status;0;100;15;Sharply lowers opponent's Special Attack.;0
Eerie Spell;Psychic;Special;80;100;5;Deals damage and reduces opponent's PP.;0
Egg Bomb;Normal;Physical;100;75;10;;0
Electric Terrain;Electric;Status;0;0;10;Prevents all Pokémon from falling asleep for 5 turns.;0
Electrify;Electric;Status;0;0;20;Changes the target's move to Electric type.;0
Electro Ball;Electric;Special;0;100;10;The faster the user, the stronger the attack.;0
Electro Drift;Electric;Special;100;100;5;Boosted even more if it's super-effective.;0
Electro Shot;Electric;Special;130;100;10;Charges on first turn, attacks on second.;0
Electroweb;Electric;Special;55;95;15;Lowers opponent's Speed.;100
Embargo;Dark;Status;0;100;15;Opponent cannot use items.;0
Ember;Fire;Special;40;100;25;May burn opponent.;10
Encore;Normal;Status;0;100;5;Forces opponent to keep using its last move for 3 turns.;0
Endeavor;Normal;Physical;0;100;5;Reduces opponent's HP to same as user's.;0
Endure;Normal;Status;0;0;10;Always left with at least 1 HP, but may fail if used consecutively.;0
Energy Ball;Grass;Special;90;100;10;May lower opponent's Special Defense.;10
Entrainment;Normal;Status;0;100;15;Makes target's ability same as user's.;0
Eruption;Fire;Special;150;100;5;Stronger when the user's HP is higher.;0
Esper Wing;Psychic;Special;80;100;10;High critical hit ratio. Raises user's Speed.;0
Eternabeam;Dragon;Special;160;90;5;User can't move on the next turn.;0
Expanding Force;Psychic;Special;80;100;10;Increases power and hits all opponents on Psychic Terrain.;0
Explosion;Normal;Physical;250;100;5;User faints.;0
Extrasensory;Psychic;Special;80;100;20;May cause flinching.;10
Extreme Evoboost;Normal;Status;0;0;1;Eevee-exclusive Z-Move. Sharply raises all stats.;100
Extreme Speed;Normal;Physical;80;100;5;User attacks first.;0
Facade;Normal;Physical;70;100;20;Power doubles if user is burned, poisoned, or paralyzed.;0
Fairy Lock;Fairy;Status;0;0;10;Prevents fleeing in the next turn.;0
Fairy Wind;Fairy;Special;40;100;30;;0
Fake Out;Normal;Physical;40;100;10;User attacks first, foe flinches. Only usable on first turn.;100
Fake Tears;Dark;Status;0;100;20;Sharply lowers opponent's Special Defense.;0
False Surrender;Dark;Physical;80;999;10;Ignores Accuracy and Evasiveness.;0
False Swipe;Normal;Physical;40;100;40;Always leaves opponent with at least 1 HP.;0
Feather Dance;Flying;Status;0;100;15;Sharply lowers opponent's Attack.;0
Feint;Normal;Physical;30;100;10;Only hits if opponent uses Protect or Detect in the same turn.;0
Feint Attack;Dark;Physical;60;999;20;Ignores Accuracy and Evasiveness.;0
Fell Stinger;Bug;Physical;50;100;25;Drastically raises user's Attack if target is KO'd.;0
Fickle Beam;Dragon;Special;80;100;5;May deal double damage.;0
Fiery Dance;Fire;Special;80;100;10;May raise user's Special Attack.;50
Fiery Wrath;Dark;Special;90;100;10;May cause flinching.;20
Fillet Away;Normal;Status;0;0;10;Lowers HP but sharply boosts Attack, Special Attack, and Speed.;0
Final Gambit;Fighting;Special;0;100;5;Inflicts damage equal to the user's remaining HP. User faints.;0
Fire Blast;Fire;Special;110;85;5;May burn opponent.;10
Fire Fang;Fire;Physical;65;95;15;May cause flinching and/or burn opponent.;10
Fire Lash;Fire;Physical;80;100;15;The user strikes the target with a burning lash. This also lowers the target's Defense stat.;100
Fire Pledge;Fire;Special;80;100;10;Added effects appear if combined with Grass Pledge or Water Pledge.;0
Fire Punch;Fire;Physical;75;100;15;May burn opponent.;10
Fire Spin;Fire;Special;35;85;15;Traps opponent, damaging them for 4-5 turns.;100
First Impression;Bug;Physical;90;100;10;Although this move has great power, it only works the first turn the user is in battle.;0
Fishious Rend;Water;Physical;85;100;10;If the user attacks before the target, the power of this move is doubled.;0
Fissure;Ground;Physical;0;30;5;One-Hit-KO, if it hits.;0
Flail;Normal;Physical;0;100;15;The lower the user's HP, the higher the power.;0
Flame Burst;Fire;Special;70;100;15;May also injure nearby Pokémon.;0
Flame Charge;Fire;Physical;50;100;20;Raises user's Speed.;100
Flame Wheel;Fire;Physical;60;100;25;May burn opponent.;10
Flamethrower;Fire;Special;90;100;15;May burn opponent.;10
Flare Blitz;Fire;Physical;120;100;15;User receives recoil damage. May burn opponent.;10
Flash;Normal;Status;0;100;20;Lowers opponent's Accuracy.;0
Flash Cannon;Steel;Special;80;100;10;May lower opponent's Special Defense.;10
Flatter;Dark;Status;0;100;15;Confuses opponent, but raises its Special Attack.;0
Fleur Cannon;Fairy;Special;130;90;5;Sharply lowers user's Special Attack.;100
Fling;Dark;Physical;0;100;10;Power depends on held item.;0
Flip Turn;Water;Physical;60;100;20;After making its attack, the user rushes back to switch places with a party Pokémon in waiting.;0
Floaty Fall;Flying;Physical;90;95;15;May cause flinching.;30
Floral Healing;Fairy;Status;0;0;10;The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.;0
Flower Shield;Fairy;Status;0;0;10;Sharply raises Defense of all Grass-type Pokémon on the field.;100
Flower Trick;Grass;Physical;70;999;10;"Never misses; always results in a critical hit.";0
Fly;Flying;Physical;90;95;15;Flies up on first turn, attacks on second turn.;0
Flying Press;Fighting;Physical;100;95;10;Deals Fighting and Flying type damage.;0
Focus Blast;Fighting;Special;120;70;5;May lower opponent's Special Defense.;10
Focus Energy;Normal;Status;0;0;30;Increases critical hit ratio.;0
Focus Punch;Fighting;Physical;150;100;20;If the user is hit before attacking, it flinches instead.;0
Follow Me;Normal;Status;0;0;20;In Double Battle, the user takes all the attacks.;0
Force Palm;Fighting;Physical;60;100;10;May paralyze opponent.;30
Foresight;Normal;Status;0;0;40;Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.;0
Forest's Curse;Grass;Status;0;100;20;Adds Grass type to opponent.;0
Foul Play;Dark;Physical;95;100;15;Uses the opponent's Attack stat.;0
Freeze Shock;Ice;Physical;140;90;5;Charges on first turn, attacks on second. May paralyze opponent.;30
Freeze-Dry;Ice;Special;70;100;20;May freeze opponent. Super-effective against Water types.;10
Freezing Glare;Psychic;Special;90;100;10;May freeze opponent.;10
Freezy Frost;Ice;Special;90;100;15;Resets all stat changes.;0
Frenzy Plant;Grass;Special;150;90;5;User must recharge next turn.;0
Frost Breath;Ice;Special;60;90;10;Always results in a critical hit.;100
Frustration;Normal;Physical;0;100;20;Power decreases with higher Friendship.;0
Fury Attack;Normal;Physical;15;85;20;Hits 2-5 times in one turn.;0
Fury Cutter;Bug;Physical;40;95;20;Power increases each turn.;0
Fury Swipes;Normal;Physical;18;80;15;Hits 2-5 times in one turn.;0
Fusion Bolt;Electric;Physical;100;100;5;Power increases if Fusion Flare is used in the same turn.;0
Fusion Flare;Fire;Special;100;100;5;Power increases if Fusion Bolt is used in the same turn.;0
Future Sight;Psychic;Special;120;100;10;Damage occurs 2 turns later.;0
G-Max Befuddle;Bug;0;0;999;5;Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.;100
G-Max Cannonade;Water;0;0;999;10;Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.;0
G-Max Centiferno;Fire;0;0;999;5;Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.;100
G-Max Chi Strike;Fighting;0;0;999;5;Machamp-exclusive G-Max Move. Increases critical hit ratio.;0
G-Max Cuddle;Normal;0;0;999;5;Eevee-exclusive G-Max Move. Infatuates opponents.;100
G-Max Depletion;Dragon;0;0;999;5;Duraludon-exclusive G-Max Move. Reduces opponent's PP.;0
G-Max Drum Solo;Grass;0;160;999;5;Rillaboom-exclusive G-Max Move. Ignores target's ability.;0
G-Max Finale;Fairy;0;0;999;5;Alcremie-exclusive G-Max Move. Heals the user's team.;0
G-Max Fireball;Fire;0;160;999;5;Cinderace-exclusive G-Max Move. Ignores target's ability.;0
G-Max Foam Burst;Water;0;0;999;5;Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.;100
G-Max Gold Rush;Normal;0;0;999;5;Meowth-exclusive G-Max Move. Confuses opponents and earns more money.;100
G-Max Gravitas;Psychic;0;0;999;5;Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.;0
